species	units	type	ref	int	slope	quad	min.len	max.len	measure	method	comment	source
"Spotted Bass"	English	linear	75	-3.533	3.215	NA	4	NA	TL	RLP	"none"	"Wiens et al., 1996"
"Spotted Bass"	metric	linear	75	-5.392	3.215	NA	100	NA	TL	RLP	"none"	"Wiens et al., 1996"
"Spotted Gar"	English	linear	75	-4.388	3.431	NA	10	NA	TL	RLP	"none"	"Bister et al., 2000"
"Spotted Gar"	metric	linear	75	-6.551	3.431	NA	250	NA	TL	RLP	"none"	"Bister et al., 2000"
"Striped Bass"	English	linear	75	-3.358	3.007	NA	6	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"Striped Bass"	metric	linear	75	-4.924	3.007	NA	150	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"Suwannee Bass"	metric	quadratic	75	-0.106	-1.363	0.995	110	NA	TL	EmP	"was not in Blackwell et al. (2000)"	"Bonvechio et al, 2010"
"Walleye"	English	linear	75	-3.642	3.18	NA	6	NA	TL	RLP	"none"	"Murphy et al, 1990"
"Walleye"	metric	linear	75	-5.453	3.18	NA	150	NA	TL	RLP	"none"	"Murphy et al, 1990"
"Walleye (30-149 mm)"	English	linear	75	-3.431	2.869	NA	1.25	NA	TL	RLP	"none"	"Flammang et al., 1999 "
"Walleye (30-149 mm)"	metric	linear	75	-4.804	2.869	NA	30	NA	TL	RLP	"none"	"Flammang et al., 1999 "
"Walleye x Sauger"	English	linear	75	-3.76	3.266	NA	6.75	NA	TL	RLP	"none"	"Flammang et al., 1993"
"Walleye x Sauger"	metric	linear	75	-5.692	3.266	NA	170	NA	TL	RLP	"none"	"Flammang et al., 1993"
"Warmouth"	English	linear	75	-3.284	3.241	NA	3	NA	TL	RLP	"none"	"Bister et al., 2000"
"Warmouth"	metric	linear	75	-5.18	3.241	NA	80	NA	TL	RLP	"none"	"Bister et al., 2000"
"White Bass"	English	linear	75	-3.394	3.081	NA	4.5	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"White Bass"	metric	linear	75	-5.066	3.081	NA	115	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"White Bass x Striped Bass"	English	linear	75	-3.448	3.139	NA	4.5	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"White Bass x Striped Bass"	metric	linear	75	-5.201	3.139	NA	115	NA	TL	RLP	"none"	"Brown and Murphy, 1991b"
"White Catfish"	English	linear	75	-3.739	3.395	NA	4	NA	TL	RLP	"none"	"Bister et al., 2000"
"White Catfish"	metric	linear	75	-5.851	3.395	NA	100	NA	TL	RLP	"none"	"Bister et al., 2000"
"White Crappie"	English	linear	75	-3.618	3.332	NA	4	NA	TL	RLP	"none"	"Neumann and Murphy, 1991"
"White Crappie"	metric	linear	75	-5.642	3.332	NA	100	NA	TL	RLP	"none"	"Neumann and Murphy, 1991"
"White Perch"	English	linear	75	-3.373	3.136	NA	3	NA	TL	RLP	"none"	"Bister et al., 2000"
