species,units,type,ref,measure,method,min.len,max.len,int,slope,quad,source,comment
Roundtail Chub,metric,linear,75,TL,RLP,100,NA,-5.065,3.015,NA,Didenko et al. (2004),none
Ruffe,metric,quadratic,50,TL,EmP,55,205,-3.3524,1.3969,0.4054,Ogle and Winfield (2009),none
Ruffe,metric,quadratic,75,TL,EmP,55,205,-2.58,0.621,0.6073,Ogle and Winfield (2009),none
Sardine,metric,quadratic,25,CL,EmP,50,NA,-1.736,2.446,0.328,Ndjaula et al. (2013),caudal length
Sardine,metric,quadratic,50,CL,EmP,50,NA,-1.975,3.033,0.056,Ndjaula et al. (2013),caudal length
Sardine,metric,quadratic,75,CL,EmP,50,NA,-1.825,2.679,0.224,Ndjaula et al. (2013),caudal length
Sauger,English,linear,75,TL,RLP,2.75,NA,-3.671,3.187,NA,Anderson and Neumann (1996),none
Sauger,metric,linear,75,TL,RLP,70,NA,-5.492,3.187,NA,Anderson and Neumann (1996),none
Saugeye,English,linear,75,TL,RLP,6.75,NA,-3.76,3.266,NA,Flammang et al. (1993),none
Saugeye,metric,linear,75,TL,RLP,170,NA,-5.692,3.266,NA,Flammang et al. (1993),none
Shoal Bass,metric,quadratic,75,TL,EmP,120,NA,-3.052,1.225,0.415,Bonvechio et al. (2019),also used RLP but did not recommend
Shoal Bass,English,quadratic,75,TL,EmP,4.75,NA,-3.169,2.391,0.415,Bonvechio et al. (2019),also used RLP but did not recommend
Shorthead Redhorse,English,linear,75,TL,RLP,4,NA,-3.337,2.962,NA,Bister et al. (2000),none
Shorthead Redhorse,metric,linear,75,TL,RLP,100,NA,-4.841,2.962,NA,Bister et al. (2000),none
Shovelnose Sturgeon,English,linear,75,FL,RLP,4.75,NA,-4.266,3.33,NA,Quist et al. (1998),fork length
Shovelnose Sturgeon,metric,linear,75,FL,RLP,120,NA,-6.287,3.33,NA,Quist et al. (1998),fork length
Silver Carp,metric,linear,50,TL,RLP,290,NA,-5.15756,3.06842,NA,Lamer et al. (2019),none
Smallmouth Bass,English,linear,75,TL,RLP,6,NA,-3.491,3.2,NA,Kolander et al. (1993),none
Smallmouth Bass,metric,linear,75,TL,RLP,150,NA,-5.329,3.2,NA,Kolander et al. (1993),none
Smallmouth Buffalo,English,linear,75,TL,RLP,8,NA,-3.448,3.208,NA,Bister et al. (2000),none
Smallmouth Buffalo,metric,linear,75,TL,RLP,200,NA,-5.298,3.208,NA,Bister et al. (2000),none
South European Roach,metric,quadratic,75,TL,EmP,60,200,-4.043,1.919,0.315,Giannetto et al. (2016),
Spotted Bass,English,linear,75,TL,RLP,4,NA,-3.533,3.215,NA,Wiens et al. (1996),none
Spotted Bass,metric,linear,75,TL,RLP,100,NA,-5.392,3.215,NA,Wiens et al. (1996),none
Spotted Bass (alabama subspecies),metric,linear,75,TL,RLP,100,NA,-5.598,3.2904,NA,Dicenzo et al. (1995),min.len not made clear (assumed same as Spotted Bass); same as Alabama Bass
Spotted Gar,English,linear,75,TL,RLP,10,NA,-4.388,3.431,NA,Bister et al. (2000),none
Spotted Gar,metric,linear,75,TL,RLP,250,NA,-6.551,3.431,NA,Bister et al. (2000),none
Striped Bass,English,linear,75,TL,RLP,6,NA,-3.358,3.007,NA,Brown and Murphy (1991b),none
